region,date_locality,sample,horizon_cm,depth,depth_up,depth_mid,unique,U_Th_age,age_ci,thickness,calCurve,notes,associated_interval,new,checked,coral_genus
Gulf of Panama,Contadora,BF18-1-12,110-115,115,110,112.5,BF18-1-12-115,1730,2.3,5,normal,,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-12,135-139,139,135,137,BF18-1-12-135,-421.4,8,4,normal,age reversal_run spring2023,.,yes,x,Poc
Gulf of Panama,Contadora,BF18-1-12,139-144,144,139,141.5,BF18-1-12-144,-419.3,8.9,5,normal,,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-12,189-194,194,189,191.5,BF18-1-12-194,-1964.6,11.9,5,normal,,.,no,x,Psamm
Gulf of Panama,Contadora,BF18-1-12,229-234,234,229,231.5,BF18-1-12-234,-2019.1,11.2,5,normal,,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-13,0-5,5,0,2.5,BF18-1-13-5,2018,1,5,normal,collection year 2018,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-13,15-Oct,15,10,12.5,BF18-1-13-15,1962,2.3,5,normal,,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-13,95-100,100,95,97.5,BF18-1-13-100,1606.3,3.5,5,normal,,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-13,125-130,130,125,127.5,BF18-1-13-130,1256.4,3.8,5,normal,,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-13,130-135,135,130,132.5,BF18-1-13-135,-491.8,8.4,5,normal,age reversal,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-13,145-150,150,145,147.5,BF18-1-13-150,-478.3,9.2,5,normal,age reversal,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-13,165-170,170,165,167.5,BF18-1-13-170,-2227.6,14.9,5,normal,,.,no,x,Psamm
Gulf of Panama,Contadora,BF18-1-13,185-190,190,185,187.5,BF18-1-13-190,-2465.5,17.3,5,normal,,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-13,275-280,280,275,277.5,BF18-1-13-280,-3140.1,15,5,normal,,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-14,0-5,5,0,2.5,BF18-1-14-5,2018,1,5,normal,"collection year 2018; changed depth to midpoint, ci to 1, thickness to 5",.,yes,x,Poc
Gulf of Panama,Contadora,BF18-1-14,60-65,65,60,62.5,BF18-1-14-65,1746.6,2.4,5,normal,,.,yes,x,Poc
Gulf of Panama,Contadora,BF18-1-14,140-145,145,140,142.5,BF18-1-14-145,-579.4,7.7,5,normal,,.,yes,x,Poc
Gulf of Panama,Contadora,BF18-1-14,190-195,195,190,192.5,BF18-1-14-195,-3290.2,14.2,5,normal,,.,yes,x,Poc
Gulf of Panama,Contadora,BF18-1-14,245-250,250,245,247.5,BF18-1-14-250,-3349.9,12.9,5,normal,,.,yes,x,Poc
Gulf of Panama,Saboga,AT19-1-1,0-5,5,0,2.5,AT19-1-1-5,2019,1,5,normal,collection year 2019,.,no,x,Poc
Gulf of Panama,Saboga,AT19-1-1,85-90,90,85,87.5,AT19-1-1-90,1826.6,3.5,5,normal,,.,no,x,Psamm
Gulf of Panama,Saboga,AT19-1-1,130-135,135,130,132.5,AT19-1-1-130,-515.3,7.5,5,normal,age reversal_run spring2023,.,yes,x,Poc
Gulf of Panama,Saboga,AT19-1-1,155-160,160,155,157.5,AT19-1-1-160,-496.8,8,5,normal,age reversal - removed for linear interpolation,.,no,x,Poc
Gulf of Panama,Saboga,AT19-1-1,195-200,200,195,197.5,AT19-1-1-200,-389.2,8.6,5,normal,,.,no,x,Psamm
Gulf of Panama,Saboga,AT19-1-1,245-250,250,245,247.5,AT19-1-1-250,-1380.7,10.8,5,normal,,.,no,x,Poc
Gulf of Panama,Saboga,AT19-1-1,290-295,295,290,292.5,AT19-1-1-295,-1553.1,14.1,5,normal,,.,no,x,Psamm
Gulf of Panama,Saboga,AT19-1-1,340-345,345,340,342.5,AT19-1-1-345,-2760.1,16.3,5,normal,,.,no,x,Psamm
Gulf of Panama,Saboga,AT19-1-2,0-5,5,0,2.5,AT19-1-2-5,2019,1,5,normal,collection year 2019,.,no,x,Poc
Gulf of Panama,Saboga,AT19-1-2,30-35,35,30,32.5,AT19-1-2-35,1994.8,1.4,5,normal,,.,no,x,Poc
Gulf of Panama,Saboga,AT19-1-2,140-145,145,140,142.5,AT19-1-2-145,1765.6,2.4,5,normal,,.,no,x,Poc
Gulf of Panama,Saboga,AT19-1-2,155-160,160,155,157.5,AT19-1-2-155,-496.4,7.4,5,normal,age reversal_run spring2023,.,yes,x,Poc
Gulf of Panama,Saboga,AT19-1-2,185-190,190,185,187.5,AT19-1-2-190,-457.4,8.1,5,normal,,.,no,x,Poc
Gulf of Panama,Saboga,AT19-1-2,235-240,240,235,237.5,AT19-1-2-240,-534.3,8.1,5,normal,,.,no,x,Poc
Gulf of Panama,Saboga,AT19-1-2,340-345,345,340,342.5,AT19-1-2-345,-2101.9,14.5,5,normal,,.,no,x,Poc
Gulf of Panama,Saboga,AT19-1-3,0-5,5,0,2.5,AT19-1-3-5,2019,1,5,normal,collection year 2019,.,no,x,Poc
Gulf of Panama,Saboga,AT19-1-3,45-50,50,45,47.5,AT19-1-3-50,1697.7,3.4,5,normal,,.,no,x,Poc
Gulf of Panama,Saboga,AT19-1-3,60-65,65,60,62.5,AT19-1-3-60,1677.2,3.3,5,normal,,.,yes,x,Poc
Gulf of Panama,Saboga,AT19-1-3,85-90,90,85,87.5,AT19-1-3-90,-197.8,11.2,5,normal,,.,no,x,Psamm
Gulf of Panama,Saboga,AT19-1-3,150-155,155,150,152.5,AT19-1-3-155,-556.1,10.3,5,normal,,.,no,x,Psamm
Gulf of Panama,Saboga,AT19-1-3,235-240,240,235,237.5,AT19-1-3-240,-1390.1,12.4,5,normal,,.,no,x,Psamm
Gulf of Panama,Saboga,AT19-1-3,340-345,345,340,342.5,AT19-1-3-345,-2425.7,11.7,5,normal,,.,no,x,Poc
Gulf of Panama,Saboga,AT19-1-3,380-385,385,380,382.5,AT19-1-3-385,-2489.5,18,5,normal,,.,no,x,Psamm
Gulf of Panama,Saboga,AT19-1-4,0-5,5,0,2.5,AT19-1-4-5,2019,1,5,normal,collection year 2019,.,no,x,Poc
Gulf of Panama,Saboga,AT19-1-4,45-50,50,45,47.5,AT19-1-4-50,1694.9,2.8,5,normal,,.,no,x,Poc
Gulf of Panama,Saboga,AT19-1-4,75-80,80,75,77.5,AT19-1-4-75,-487.3,6.4,5,normal,,.,yes,x,Poc
Gulf of Panama,Saboga,AT19-1-4,115-120,120,115,117.5,AT19-1-4-120,-717.5,8.5,5,normal,,.,no,x,Poc
Gulf of Panama,Saboga,AT19-1-4,185-190,190,185,187.5,AT19-1-4-190,-1946.1,12.1,5,normal,,.,no,x,Poc
Gulf of Panama,Saboga,AT19-1-4,275-280,280,275,277.5,AT19-1-4-280,-2120.4,12.3,5,normal,,.,no,x,Poc
Gulf of Panama,Saboga,AT19-1-4,350-355,355,350,352.5,AT19-1-4-355,-3436.4,12,5,normal,,.,no,x,Poc
Gulf of Panama,Saboga,AT19-1-4,385-390,390,385,387.5,AT19-1-4-385,-3751.8,15.6,5,normal,,.,no,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-1,0-5,5,0,2.5,JC22-2-1-5,2022,1,5,normal,collection year 2018,.,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-1,21-23,25,20,22.5,JC22-2-1-23,1930.8,2.7,5,normal,pulled from specific position in core,JC22-2-1-25,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-1,83-85,85,80,82.5,JC22-2-1-85,1906,2,5,normal,pulled from specific position in core,JC22-2-1-85,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-1,95-100,100,95,97.5,JC22-2-1-100,1895,2,5,normal,added june 2025,.,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-1,130-135,135,130,132.5,JC22-2-1-135,635,6.9,5,normal,added june 2025,.,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-1,157-158,160,155,157.5,JC22-2-1-158,-2186.9,7.5,5,normal,pulled from specific position in core,JC22-2-1-160,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-1,210-211,212,205,208.5,JC22-2-1-211,-2893.3,13.2,7,normal,pulled from specific position in core,JC22-2-1-212,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-2,0-5,5,0,2.5,JC22-2-2-5,2022,1,5,normal,collection year 2018,.,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-2,26-28,20,25,27.5,JC22-2-2-28,2002.8,1.4,5,normal,pulled from specific position in core,JC22-2-2-30,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-2,71-73,75,70,72.5,JC22-2-2-73,1920.4,2.1,5,normal,pulled from specific position in core,JC22-2-2-75,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-2,85-90,90,85,87.5,JC22-2-2-90,1901,2.1,5,normal,added june 2025,.,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-2,110-115,115,110,112.5,JC22-2-2-115,1883,3,5,normal,added june 2025,.,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-2,125-130,130,125,127.5,JC22-2-2-130,1584,3.7,5,normal,added june 2025,.,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-2,141-142,142,135,138.5,JC22-2-2-142,-2596.2,14,7,normal,pulled from specific position in core,JC22-2-2-142,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-3,0-5,5,0,2.5,JC22-2-3-5,2022,1,5,normal,collection year 2018,.,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-3,20-23,25,20,22.5,JC22-2-3-23,1958,1.6,5,normal,pulled from specific position in core,JC22-2-3-25,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-3,70-75,75,70,72.5,JC22-2-3-75,1905,1.8,5,normal,added june 2025,.,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-3,105-106,110,105,107.5,JC22-2-3-106,1554.8,3,5,normal,pulled from specific position in core,JC22-2-3-110,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-3,110-115,115,110,112.5,JC22-2-3-115,698,6.1,5,normal,added june 2025,.,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-3,125-130,130,125,127.5,JC22-2-3-130,-2606,18.7,5,normal,added june 2025,.,yes,x,Poc
Gulf of Panama,Isla Iguana,JC22-2-3,146-147,147,140,143.5,JC22-2-3-147,-2759.3,11.5,7,normal,pulled from specific position in core,JC22-2-2-150,yes,x,Poc
